lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
stab_nn	nn1@	1846	1	fic_1846_4464.txt-4749-50		In long ranks, like grass in the mower's swathes, the rebel warriors lay, with their grim faces, and glazed eyes, set in that terrible expression of ferocity which is always observed on the lineaments of those who have died from wounds inflicted by a stabbing weapon; and under them, or near them, in ghastly piles were heaped, scarce less in number, the corpses of their slaughtered conquerors.	251:259	0:395	1394560	annotation_validation	en	ajejohansson
stab_nn	nn1	1994	2	fic_1994_41243.txt-295-21		A young man with a thin mustache appeared to be pushing himself against this woman, and Megan felt a sudden stab of violation.	108:112	0:126	1394563	annotation_validation	en	ajejohansson
stab_nn	nn1	1994	2	fic_1994_54062.txt-398-18		There was not a taxi to be had, or a light to be seen except for the stab of searchlights and the flashes of anti-aircraft batteries.	69:73	0:133	1394567	annotation_validation	en	ajejohansson
stab_nn	nn1	1848	1	fic_1848_7265.txt-2365-14		"The account of him concluded as follows: "" Thus, by a fatal stab in the back, we lost the best man in the ship -- honest to his last farthing; true to his last word; brave as Julius Csar; and tender-hearted as a woman."	60:64	0:218	1394553	annotation_validation	en	ajejohansson
stab_nn	nn1@	1966	2	mag_1966_210733.txt-23-34		"Only twelve miles to go, "" he tells Tinkerbelle, whom he regarded throughout as "" my dearest companion, "" and then he adds: "" The thought brought on a faint stabbing of pain. """	157:165	0:176	1394547	annotation_validation	en	ajejohansson
stab_nn	nn1	1860	1	fic_1860_1818.txt-240-18		She then put her hand in again, but very cautiously, and Little Jacket gave it another stab, which made her cry out more loudly than before.	87:91	0:140	1394548	annotation_validation	en	ajejohansson
stab_nn	nn1	1984	2	fic_1984_14568.txt-1957-9		p. 81 SAL HENRY (Feeling this as a stab at her lack of education.)	35:39	0:66	1394549	annotation_validation	en	ajejohansson
stab_nn	nn1	2001	2	fic_2001_29668.txt-481-19		Instead of the smooth stroke Park had come to expect, however, what came next was a palsied stab, a slashing movement that sent the ball screaming past the hole, all the way across the green, where it disappeared into the thick collar of the second	92:96	0:248	1394557	annotation_validation	en	ajejohansson
stab_nn	nn1	2006	2	fic_2006_26585.txt-31-12		Sarah jerked her hand away, but not before she felt the stab of beak and the surge of adrenaline at the attack.	56:60	0:111	1394562	annotation_validation	en	ajejohansson
stab_nn	nn1	1978	2	fic_1978_10636.txt-7924-6		As if in recoil from this stab, she angrily turned, my pillar of cloth, and it was alarming, how closely her back resembled her front.	26:30	0:134	1394561	annotation_validation	en	ajejohansson
stab_nn	nn1	1841	1	mag_1841_586607.txt-160-13		"for ever damn your own good fame, you will have inflicted a stab on "" the good old cause "" of the principles of Virginia, with the treacherous hand of a false friend, far deeper than could ever have been inflicted by an open foe."	60:64	0:229	1394556	annotation_validation	en	ajejohansson
stab_nn	nn1_vv0	1837	1	mag_1837_554503.txt-162-31		, that in Parkhurst would probably be found under that word, as a derivative, the English word dagger, especially as the Hebrew verb signifies to pierce, or stab.	157:161	0:162	1394570	annotation_validation	en	ajejohansson
stab_nn	nn2	1855	1	mag_1855_556096.txt-212-21		But in March, 1778, two years after its adoption, the new constitution received a number of violent legislative stabs, and a substitute for it was presented to him by	112:117	0:166	1394550	annotation_validation	en	ajejohansson
stab_nn	nn2	2009	2	fic_2009_36924.txt-37-21		When it looked like Brady would go in after him, Olivia threw caution aside and raced downhill, ignoring the stabs and jabs of anything that tried to impede her progress.	109:114	0:170	1394569	annotation_validation	en	ajejohansson
stab_nn	nn1	2000	2	fic_2000_29517.txt-210-22		When at last she felt in full control of her limbs, she reached for the ignition, wincing at a sudden stab of pain in her neck.	102:106	0:127	1394551	annotation_validation	en	ajejohansson
